source: https://github.com/markomanninen/strongs/blob/master/strongs/nt-strongs.csv
G1	--Alpha
G2	Aaron
G3	Abaddon
G4	from being burdensome
G5	Abba
G6	Abel
G7	Abia
G8	Abiathar
G9	Abilene
G10	Abiud
G11	Abraham
G12	deep
G13	Agabus
G14	do good
G15	do good
G16	well-doing
G17	them that do well
G18	benefit
G19	goodness
G20	gladness
G21	be  glad
G22	unmarried
G23	be much  displeased
G24	indignation
G25	love
G26	charity
G27	(dearly
G28	Hagar
G29	compel
G30	vessel
G31	message
G32	angel
G33	go to
G34	herd
G35	without descent
G36	base things
G37	hallow
G38	holiness
G39	holiest
G40	holy (one
G41	holiness
G42	holiness
G43	arm
G44	hook
G45	anchor
G46	new
G47	purity
G48	purify
G49	purification
G50	ignorant
G51	error
G52	ignorance
G53	chaste
G54	pureness
G55	sincerely
G56	ignorance
G57	unknown
G58	market
G59	buy
G60	baser sort
G61	draught
G62	unlearned
G63	abide in the field
G64	catch
G65	olive tree  wild
G66	wild
G67	Agrippa
G68	country
G69	watch
G70	watch
G71	be
G72	manner of life
G73	conflict
G74	agony
G75	fight
G76	Adam
G77	without expense
G78	Addi
G79	sister
G80	brother
G81	brethren
G82	appear not
G83	X uncertain
G84	uncertainly
G85	be full of heaviness
G86	grave
G87	without partiality
G88	without ceasing
G89	without ceasing
G90	uncorruptness
G91	hurt
G92	evil doing
G93	iniquity
G94	unjust
G95	wrongfully
G96	castaway
G97	sincere
G98	of Adramyttium
G99	Adria
G100	abundance
G101	be impossible
G102	could not do
G103	sing
G104	always
G105	eagle
G106	unleavened
G107	Azorigin
G108	Azotus
G109	air
G110	immortality
G111	abominable
G112	without God
G113	wicked
G114	cast off
G115	disannulling
G116	Athens
G117	Athenian
G118	strive
G119	fight
G120	be dismayed
G121	innocent
G122	goat
G123	shore
G124	Egyptian
G125	Egypt
G126	eternal
G127	reverence
G128	Ethiopian
G129	blood
G130	shedding of blood
G131	diseased with an issue of blood
G132	Æneas
G133	praise
G134	praise
G135	X darkly
G136	praise
G137	Ænon
G138	choose
G139	heresy
G140	choose
G141	heretic
G142	away with
G143	perceive
G144	judgment
G145	senses
G146	given to  filthy lucre
G147	for filthy lucre's sake
G148	filthy communication
G149	shame
G150	filthy
G151	filthiness
G152	dishonesty
G153	be ashamed
G154	ask
G155	petition
G156	accusation
G157	complaint
G158	cause
G159	author
G160	sudden
G161	captivity
G162	lead captive
G163	lead away captive
G164	captive
G165	age
G166	eternal
G167	uncleanness
G168	filthiness
G169	foul
G170	lack opportunity
G171	out of season
G172	harmless
G173	thorn
G174	of thorns
G175	without fruit
G176	that cannot be condemned
G177	uncovered
G178	uncondemned
G179	endless
G180	that cannot cease
G181	commotion
G182	unstable
G183	unruly
G184	Aceldama
G185	harmless
G186	without wavering
G187	be fully ripe
G188	yet
G189	audience
G190	follow
G191	give  audience
G192	excess
G193	incontinent
G194	without mixture
G195	perfect manner
G196	most straitest
G197	more perfect
G198	enquire diligently
G199	circumspectly
G200	locust
G201	place of hearing
G202	hearer
G203	not circumcised
G204	chief corner
G205	spoils
G206	one end… other
G207	Aquila
G208	disannul
G209	no man forbidding him
G210	against the will
G211	box
G212	boasting
G213	boaster
G214	tinkle
G215	unutterable
G216	dumb
G217	salt
G218	anoint
G219	cockcrowing
G220	cock
G221	of Alexandria
G222	of Alexandria
G223	Alexander
G224	meal
G225	true
G226	speak  the truth
G227	true
G228	true
G229	grind
G230	indeed
G231	fisher
G232	go a-fishing
G233	salt
G234	pollution
G235	and
G236	change
G237	some other way
G238	be an allegory
G239	alleluiah
G240	each other
G241	stranger
G242	leap
G243	more
G244	busybody in other men's matters
G245	alien
G246	one of another nation
G247	otherwise
G248	thresh
G249	brute
G250	aloes
G251	salt
G252	salt
G253	less sorrowful
G254	bonds
G255	unprofitable
G256	Alpheus
G257	floor
G258	fox
G259	capture
G260	also
G261	unlearned
G262	that fadeth not away
G263	that fadeth not away
G264	for your faults
G265	sin
G266	offence
G267	without witness
G268	sinful
G269	not a brawler
G270	reap down
G271	amethyst
G272	make light of
G273	blameless
G274	blameless
G275	without care
G276	immutable
G277	unmovable
G278	without repentance
G279	impenitent
G280	without measure
G281	amen
G282	without mother
G283	undefiled
G284	Aminadab
G285	sand
G286	lamb
G287	requite
G288	vine
G289	vine-dresser
G290	vineyard
G291	Amplias
G292	defend
G293	net
